"Time","run_number","fill","last_lumi","last_era","last_delay_h","last_global","last_globaltag","last_endtime","last_re-tracking-efficiency-analysis-harvester","last_re-tracking-efficiency-analysis-worker","last_re-tracking-efficiency-analysis-worker-with-reco","last_re-tracking-efficiency-reference-harvester","last_re-tracking-efficiency-reference-worker","last_tracking-efficiency","last_tracking-efficiency-alcareco","last_tracking-efficiency-analysis-harvester","last_tracking-efficiency-analysis-worker","last_tracking-efficiency-reference-harvester","last_tracking-efficiency-reference-worker","last_re-alcareco","last_plotters","first_delay_h"
2025-07-12 16:33:35.300,378985,9474,0.259,Run2024B,15468,done,150X_dataRun3_v4,2024-04-06T05:25:50Z,done,,done,done,done,,,,,,,,,15464
2025-07-12 16:33:35.300,378993,9475,0.143,Run2024B,15464,done,150X_dataRun3_v4,2024-04-06T08:31:59Z,done,,done,done,done,,,,,,,,,15461
2025-07-12 16:33:35.300,379011,9475,0.478,Run2024B,15459,done,150X_dataRun3_v4,2024-04-06T14:32:45Z,done,,done,done,done,,,,,,,,,15455
2025-07-12 16:33:35.300,379012,9475,0.495,Run2024B,15456,done,150X_dataRun3_v4,2024-04-06T17:36:33Z,done,,done,done,done,,,,,,,,,15452
2025-07-12 16:33:35.300,379028,9476,0.792,Run2024B,15450,done,150X_dataRun3_v4,2024-04-06T23:23:41Z,done,,done,done,done,,,,,,,,,15446
2025-07-12 16:33:35.300,379031,9476,0.396,Run2024B,15447,done,150X_dataRun3_v4,2024-04-07T01:58:45Z,done,,done,done,done,,,,,,,,,15444
2025-07-12 16:33:35.300,379058,9479,10.0,Run2024B,15434,done,150X_dataRun3_v4,2024-04-07T14:55:00Z,done,,done,done,done,,,,,,,,,15431
2025-07-12 16:33:35.300,379075,9483,4.28,Run2024B,15420,done,150X_dataRun3_v4,2024-04-08T04:54:34Z,done,,done,done,done,,,,,,,,,15417
2025-07-12 16:33:35.300,379154,9485,11.6,Run2024B,15396,done,150X_dataRun3_v4,2024-04-09T05:04:49Z,done,,done,done,done,,,,,,,,,15393
2025-07-12 16:33:35.300,379238,9496,17.4,Run2024B,15359,done,150X_dataRun3_v4,2024-04-10T18:36:32Z,done,,done,done,done,,,,,,,,,15355
2025-07-12 16:33:35.300,379243,9497,19.8,Run2024B,15355,done,150X_dataRun3_v4,2024-04-10T22:33:01Z,done,,done,done,done,,,,,,,,,15351
2025-07-12 16:33:35.300,379252,9499,45.6,Run2024B,15347,done,150X_dataRun3_v4,2024-04-11T06:07:11Z,done,,done,done,done,,,,,,,,,15344
2025-07-12 16:33:35.300,379253,9499,7.93,Run2024B,15346,done,150X_dataRun3_v4,2024-04-11T06:54:09Z,done,,done,done,done,,,,,,,,,15343
2025-07-12 16:33:35.300,379338,9510,11.9,Run2024B,15314,done,150X_dataRun3_v4,2024-04-12T15:39:22Z,done,,done,done,done,,,,,,,,,15310
2025-07-12 16:33:35.300,379416,9517,44.7,Run2024C,15262,done,150X_dataRun3_v4,2024-04-14T19:04:26Z,done,,done,done,done,,,,,,,,,15259
2025-07-12 16:33:35.300,379420,9518,111,Run2024C,15257,done,150X_dataRun3_v4,2024-04-15T00:25:51Z,done,,done,done,done,,,,,,,,,15253
2025-07-12 16:33:35.300,379425,9519,38.4,Run2024C,15254,done,150X_dataRun3_v4,2024-04-15T03:24:43Z,done,,done,done,done,,,,,,,,,15250
2025-07-12 16:33:35.300,379442,9521,55.1,Run2024C,15248,done,150X_dataRun3_v4,2024-04-15T08:53:32Z,done,,done,done,done,,,,,,,,,15245
2025-07-12 16:33:35.300,379454,9523,103,Run2024C,15243,done,150X_dataRun3_v4,2024-04-15T14:42:35Z,done,,done,done,done,,,,,,,,,15239
2025-07-12 16:33:35.300,379456,9523,205,Run2024C,15235,done,150X_dataRun3_v4,2024-04-15T22:36:43Z,done,,done,done,done,,,,,,,,,15231
2025-07-12 16:33:35.300,379470,9525,172,Run2024C,15227,done,150X_dataRun3_v4,2024-04-16T05:53:03Z,done,,done,done,done,,,,,,,,,15224
2025-07-12 16:33:35.300,379530,9530,191,Run2024C,15204,done,150X_dataRun3_v4,2024-04-17T05:07:18Z,done,,done,done,done,,,,,,,,,15201
2025-07-12 16:33:35.300,379613,9537,33.8,Run2024C,15180,done,150X_dataRun3_v4,2024-04-18T04:10:18Z,done,,done,done,done,,,,,,,,,15177
2025-07-12 16:33:35.300,379617,9537,222,Run2024C,15176,done,150X_dataRun3_v4,2024-04-18T08:41:52Z,done,,done,done,done,,,,,,,,,15173
2025-07-12 16:33:35.300,379618,9537,104,Run2024C,15174,done,150X_dataRun3_v4,2024-04-18T11:05:49Z,done,,done,done,done,,,,,,,,,15171
2025-07-12 16:33:35.300,379660,9539,446,Run2024C,15159,done,150X_dataRun3_v4,2024-04-19T02:34:21Z,done,,done,done,done,,,,,,,,,15155
2025-07-12 16:33:35.300,379661,9539,178,Run2024C,15152,done,150X_dataRun3_v4,2024-04-19T08:33:28Z,done,,done,done,done,,,,,,,,,15149
2025-07-12 16:33:35.300,379729,9543,471,Run2024C,15134,done,150X_dataRun3_v4,2024-04-20T03:13:34Z,done,,done,done,done,,,,,,,,,15130
2025-07-12 16:33:35.300,379765,9548,559,Run2024C,15112,done,150X_dataRun3_v4,2024-04-21T01:02:06Z,done,,done,done,done,,,,,,,,,15109
2025-07-12 16:33:35.300,379774,9549,53.9,Run2024C,15108,done,150X_dataRun3_v4,2024-04-21T04:29:16Z,done,,done,done,done,,,,,,,,,15105
2025-07-12 16:33:35.300,379866,9559,288,Run2024C,15036,done,150X_dataRun3_v4,2024-04-24T05:22:35Z,done,,done,done,done,,,,,,,,,15032
2025-07-12 16:33:35.300,379984,9562,248,Run2024C,15000,done,150X_dataRun3_v4,2024-04-25T17:48:43Z,done,,done,done,done,,,,,,,,,14996
